mysql> 
SELECT value,total 
FROM totals 
WHERE variable="video" 
GROUP BY value 
HAVING total>2 
ORDER BY total DESC;
+-------------------------------+--------+
| value                         | total  |
| 1080x1920x24                  |    124 |
| 1350x700x24                   |    122 |
| 1536x960x24                   |    122 |
| 3520x1200x24                  |    121 |
| 1120x630x24                   |    120 |
| 800x1200x32                   |    119 |
| 1000x600x32                   |    118 |
| 3600x1200x24                  |    118 |
| 1000x750x24                   |    117 |
| 800x335x32                    |    117 |
| 1360x1024x32                  |    116 |
| 1600x900x16                   |    116 |
| 1772x1108x32                  |    115 |
| 1402x877x32                   |    112 |
| 1069x855x32                   |    108 |
| 1728x972x24                   |    107 |
| 960x540x32                    |    107 |
| 1024x819x24                   |    104 |
| 1249x702x32                   |    104 |
| 1317x823x32                   |    104 |
| 480x800x24                    |    104 |
| 1700x950x24                   |    103 |
| 1843x1037x32                  |    103 |
| 940x1448x32                   |    102 |
| 1000x550x32                   |    101 |
| 1300x750x24                   |    100 |
| 1440x810x24                   |    100 |
| 1067x800x32                   |     99 |
| 1360x1024x24                  |     99 |
| 1200x750x24                   |     98 |
| 1920x1440x24                  |     98 |
| 480x762x32                    |     98 |
| 640x480x24                    |     98 |
| 768x528x32                    |     98 |
| 1400x900x24                   |     96 |
| 1150x750x24                   |     95 |
| 1280x854x32                   |     94 |
| 1368x768x24                   |     94 |
| 1800x1050x24                  |     94 |
| 1400x850x24                   |     93 |
| 1250x650x24                   |     91 |
| 1088x614x32                   |     90 |
| 1120x840x32                   |     90 |
| 800x1125x32                   |     89 |
| 1150x700x24                   |     88 |
| 1755x987x32                   |     88 |
| 853x533x32                    |     88 |
| 1152x922x24                   |     87 |
| 2048x1536x24                  |     87 |
| 800x1040x32                   |     87 |
| 840x525x32                    |     87 |
| 942x1450x32                   |     87 |
| 1100x750x24                   |     85 |
| 1350x844x32                   |     85 |
| 2704x1050x24                  |     85 |
| 3840x1024x24                  |     84 |
| 936x702x32                    |     84 |
| 1080x1920x32                  |     83 |
| 1344x756x24                   |     83 |
| 1441x810x32                   |     83 |
| 3360x1080x24                  |     82 |
| 960x540x24                    |     82 |
| 1257x785x32                   |     81 |
| 1519x949x32                   |     81 |
| 640x480x32                    |     81 |
| 800x1182x32                   |     81 |
| 1100x550x24                   |     80 |
| 1300x850x32                   |     80 |
| 1603x902x32                   |     80 |
| 2880x1200x24                  |     80 |
| 800x1003x16                   |     80 |
| 840x525x24                    |     80 |
| 900x1440x32                   |     80 |
| 1024x613x24                   |     78 |
| 1200x650x24                   |     78 |
| 1250x600x24                   |     76 |
| 1280x720x16                   |     76 |
| 1755x1097x32                  |     76 |
| 2400x1920x24                  |     76 |
| 1152x922x32                   |     75 |
| 1400x875x24                   |     75 |
| 1150x600x24                   |     74 |
| 768x1024x24                   |     74 |
| 836x627x24                    |     74 |
| 1067x853x24                   |     73 |
| 1192x670x32                   |     73 |
| 1600x1000x32                  |     73 |
| 2048x768x24                   |     73 |
| 683x512x32                    |     73 |
| 1472x828x24                   |     72 |
| 922x691x32                    |     72 |
| 1024x1024x24                  |     70 |
| 1536x1152x32                  |     70 |
| 1900x1050x24                  |     70 |
| 240x320x32                    |     70 |
| 1050x600x24                   |     69 |
| 1050x650x24                   |     69 |
| 1512x945x24                   |     69 |
| 1600x750x24                   |     69 |
| 1700x850x32                   |     69 |
| 980x613x24                    |     69 |
| 1176x664x24                   |     68 |
| 1280x600x32                   |     68 |
| 1138x640x24                   |     67 |
| 1360x768x16                   |     67 |
| 1300x600x32                   |     66 |
| 2304x1024x24                  |     66 |
| 3360x1050x32                  |     66 |
| 3360x1200x24                  |     66 |
| 1080x675x24                   |     65 |
| 1152x768x24                   |     65 |
| 1429x893x32                   |     65 |
| 320x240x32                    |     65 |
| 800x1270x32                   |     65 |
| 800x1333x32                   |     65 |
| 1024x576x16                   |     64 |
| 1067x800x24                   |     64 |
| 1140x641x32                   |     64 |
| 1200x600x24                   |     63 |
| 1200x850x24                   |     63 |
| 800x450x32                    |     63 |
| 940x1556x32                   |     63 |
| 1117x698x32                   |     62 |
| 1300x950x24                   |     62 |
| 1900x1100x24                  |     62 |
| 922x691x24                    |     62 |
| 1000x1000x24                  |     61 |
| 1050x550x24                   |     61 |
| 1143x857x32                   |     61 |
| 1260x788x24                   |     61 |
| 1350x600x32                   |     61 |
| 1472x920x24                   |     61 |
| 1600x800x24                   |     61 |
| 1676x1047x32                  |     61 |
| 1024x686x32                   |     60 |
| 1311x737x24                   |     60 |
| 1150x800x24                   |     59 |
| 1024x768x12                   |     58 |
| 1288x805x24                   |     58 |
| 1364x768x16                   |     58 |
| 240x400x16                    |     58 |
| 1000x850x24                   |     57 |
| 1376x774x24                   |     57 |
| 800x450x24                    |     57 |
| 1067x667x24                   |     56 |
| 1296x810x24                   |     55 |
| 1440x852x24                   |     55 |
| 2048x1536x32                  |     55 |
| 480x360x24                    |     55 |
| 800x1028x32                   |     55 |
| 1116x627x24                   |     54 |
| 1450x650x24                   |     54 |
| 320x384x32                    |     54 |
| 1200x700x24                   |     53 |
| 1300x850x16                   |     53 |
| 911x512x24                    |     53 |
| 911x512x32                    |     53 |
| 1000x900x24                   |     52 |
| 1250x900x24                   |     52 |
| 1603x1002x32                  |     52 |
| 900x850x24                    |     52 |
| 1045x836x32                   |     51 |
| 1100x850x24                   |     51 |
| 800x355x32                    |     51 |
| 950x550x24                    |     51 |
| 1024x768x8                    |     50 |
| 1100x800x24                   |     50 |
| 1365x1024x32                  |     50 |
| 2048x1280x24                  |     50 |
| 800x500x24                    |     50 |
| 1184x666x24                   |     49 |
| 1280x900x24                   |     49 |
| 1400x750x24                   |     49 |
| 1920x1440x32                  |     49 |
| 800x400x32                    |     49 |
| 1050x850x24                   |     48 |
| 1250x850x24                   |     48 |
| 1463x823x32                   |     48 |
| 2720x900x24                   |     48 |
| 360x480x24                    |     48 |
| 3840x1024x32                  |     48 |
| 768x576x32                    |     48 |
| 1025x576x24                   |     47 |
| 1097x686x32                   |     47 |
| 1200x900x24                   |     47 |
| 1250x750x24                   |     47 |
| 1301x813x32                   |     47 |
| 2025x1266x32                  |     47 |
| 314x240x32                    |     47 |
| 1100x600x24                   |     46 |
| 1250x781x32                   |     46 |
| 853x640x24                    |     46 |
| 1000x600x16                   |     45 |
| 1100x650x24                   |     45 |
| 1202x751x32                   |     45 |
| 1400x960x16                   |     45 |
| 960x768x24                    |     45 |
| 1350x400x24                   |     44 |
| 1728x1080x24                  |     44 |
| 1024x1280x16                  |     43 |
| 1024x819x16                   |     43 |
| 1080x633x32                   |     43 |
| 1204x752x32                   |     43 |
| 1333x750x24                   |     43 |
| 1350x550x32                   |     43 |
| 1056x594x24                   |     42 |
| 1300x550x32                   |     42 |
| 1512x945x32                   |     42 |
| 480x854x16                    |     42 |
| 800x1232x32                   |     42 |
| 800x380x32                    |     42 |
| 853x533x24                    |     42 |
| 1067x600x24                   |     41 |
| 1100x700x24                   |     41 |
| 1249x702x24                   |     41 |
| 1250x550x24                   |     41 |
| 1344x1008x24                  |     41 |
| 1408x880x24                   |     41 |
| 1486x836x32                   |     41 |
| 1676x943x32                   |     41 |
| 1700x800x24                   |     41 |
| 850x900x24                    |     41 |
| 1000x800x32                   |     40 |
| 1350x750x24                   |     40 |
| 1376x860x32                   |     40 |
| 1396x785x32                   |     40 |
| 795x595x2                     |     40 |
| 800x800x32                    |     40 |
| 1400x700x24                   |     39 |
| 2025x1139x32                  |     39 |
| 240x320x4                     |     39 |
| 3200x1200x16                  |     39 |
| 991x793x32                    |     39 |
| 1200x1600x16                  |     38 |
| 1250x700x24                   |     38 |
| 1307x980x24                   |     38 |
| 1400x800x24                   |     38 |
| 1429x1143x32                  |     38 |
| 1050x700x24                   |     37 |
| 1150x850x24                   |     37 |
| 1200x800x24                   |     37 |
| 1755x987x24                   |     37 |
| 2944x1200x24                  |     37 |
| 853x683x24                    |     37 |
| 1024x606x32                   |     36 |
| 234x282x32                    |     36 |
| 282x355x4                     |     36 |
| 3200x1200x32                  |     36 |
| 320x416x4                     |     36 |
| 360x640x32                    |     36 |
| 683x512x24                    |     36 |
| 800x850x24                    |     36 |
| 832x624x24                    |     36 |
| 981x613x24                    |     36 |
| 981x785x24                    |     36 |
| 0x0x0                         |     35 |
| 1100x900x24                   |     35 |
| 640x512x32                    |     35 |
| 1280x577x24                   |     34 |
| 1408x880x32                   |     34 |
| 1600x1050x24                  |     34 |
| 3280x1200x24                  |     34 |
| 640x480x16                    |     34 |
| 950x950x24                    |     34 |
| 1050x1400x32                  |     33 |
| 1056x660x24                   |     33 |
| 1104x690x24                   |     33 |
| 1200x1920x16                  |     33 |
| 1280x837x32                   |     33 |
| 1550x1150x24                  |     33 |
| 1760x990x24                   |     33 |
| 234x320x32                    |     33 |
| 320x384x4                     |     33 |
| 819x480x32                    |     33 |
| 1000x400x32                   |     32 |
| 1000x550x16                   |     32 |
| 1069x668x32                   |     32 |
| 1097x617x32                   |     32 |
| 1296x810x32                   |     32 |
| 1450x850x24                   |     32 |
| 1843x1037x24                  |     32 |
| 2680x1050x24                  |     32 |
| 800x1023x32                   |     32 |
| 900x1440x24                   |     32 |
| 950x500x24                    |     32 |
| 960x1350x32                   |     32 |
| 1008x630x24                   |     31 |
| 1045x653x32                   |     31 |
| 1192x670x24                   |     31 |
| 1280x617x32                   |     31 |
| 1307x735x24                   |     31 |
| 1540x963x24                   |     31 |
| 1580x808x32                   |     31 |
| 1688x949x32                   |     31 |
| 1768x992x32                   |     31 |
| 600x706x32                    |     31 |
| 800x472x32                    |     31 |
| 950x850x24                    |     31 |
| 960x600x16                    |     31 |
| 0x0x24                        |     30 |
| 1050x750x24                   |     30 |
| 1280x840x24                   |     30 |
| 1500x850x24                   |     30 |
| 1550x800x24                   |     30 |
| 1900x1000x32                  |     30 |
| 320x460x4                     |     30 |
| 3286x1080x24                  |     30 |
| 950x1000x24                   |     30 |
| 983x576x32                    |     30 |
| 1036x648x24                   |     29 |
| 1047x589x24                   |     29 |
| 1050x800x24                   |     29 |
| 1058x595x32                   |     29 |
| 1350x500x24                   |     29 |
| 1441x810x24                   |     29 |
| 1450x700x32                   |     29 |
| 1463x1097x32                  |     29 |
| 2048x768x32                   |     29 |
| 2304x864x24                   |     29 |
| 240x266x16                    |     29 |
| 274x457x16                    |     29 |
| 3046x1050x24                  |     29 |
| 800x1280x24                   |     29 |
| 907x512x24                    |     29 |
| 1024x768xundefined            |     28 |
| 1106x829x32                   |     28 |
| 1126x845x32                   |     28 |
| 1252x704x24                   |     28 |
| 1280x1024x12                  |     28 |
| 1360x766x16                   |     28 |
| 1496x1122x24                  |     28 |
| 1700x1000x24                  |     28 |
| 2464x900x24                   |     28 |
| 768x942x32                    |     28 |
| 1227x690x24                   |     27 |
| 1280x615x32                   |     27 |
| 1280x621x24                   |     27 |
| 1582x810x32                   |     27 |
| 2304x800x24                   |     27 |
| 2646x1024x24                  |     27 |
| 2880x1024x24                  |     27 |
| 320x240x4                     |     27 |
| 768x1366x32                   |     27 |
| 800x1096x16                   |     27 |
| 894x670x32                    |     27 |
| 950x600x24                    |     27 |
| 1160x725x32                   |     26 |
| 1344x756x32                   |     26 |
| 1429x804x32                   |     26 |
| 1600x950x24                   |     26 |
| 1650x850x24                   |     26 |
| 1792x1344x24                  |     26 |
| 1920x999x32                   |     26 |
| 240x272x4                     |     26 |
| 320x460x32                    |     26 |
| 800x1065x32                   |     26 |
| 800x1275x32                   |     26 |
| 800x1289x32                   |     26 |
| 800x350x24                    |     26 |
| 800x402x16                    |     26 |
| 900x550x24                    |     26 |
| 953x762x32                    |     26 |
| 1024x540x32                   |     25 |
| 1173x733x24                   |     25 |
| 1209x855x24                   |     25 |
| 1280x858x32                   |     25 |
| 1300x500x24                   |     25 |
| 1400x850x32                   |     25 |
| 1776x1000x32                  |     25 |
| 2048x1280x32                  |     25 |
| 360x480x16                    |     25 |
| 400x240x16                    |     25 |
| 640x360x32                    |     25 |
| 800x391x32                    |     25 |
| 900x600x24                    |     25 |
| 950x600x32                    |     25 |
| 1000x650x16                   |     24 |
| 1000x700x32                   |     24 |
| 1072x670x32                   |     24 |
| 1184x740x24                   |     24 |
| 1239x697x32                   |     24 |
| 1248x780x24                   |     24 |
| 1280x1024x8                   |     24 |
| 1350x850x24                   |     24 |
| 1372x858x32                   |     24 |
| 1376x774x32                   |     24 |
| 1500x800x24                   |     24 |
| 1600x768x32                   |     24 |
| 1707x1067x32                  |     24 |
| 1916x1063x24                  |     24 |
| 800x304x32                    |     24 |
| 850x450x32                    |     24 |
| 884x707x32                    |     24 |
| 896x717x24                    |     24 |
| 950x650x24                    |     24 |
| 1069x641x32                   |     23 |
| 1120x840x24                   |     23 |
| 1259x1007x32                  |     23 |
| 1280x752x32                   |     23 |
| 1300x600x16                   |     23 |
| 1440x748x24                   |     23 |
| 1486x929x32                   |     23 |
| 1525x857x32                   |     23 |
| 1800x1440x24                  |     23 |
| 1875x1172x32                  |     23 |
| 2025x1139x24                  |     23 |
| 234x276x32                    |     23 |
| 240x274x4                     |     23 |
| 3040x1200x24                  |     23 |
| 3200x900x24                   |     23 |
| 480x640x16                    |     23 |
| 480x816x32                    |     23 |
| 850x550x24                    |     23 |
| 1000x650x32                   |     22 |
| 1015x718x24                   |     22 |
| 1024x700x4                    |     22 |
| 1092x683x24                   |     22 |
| 1100x1050x24                  |     22 |
| 1115x697x32                   |     22 |
| 1126x845x24                   |     22 |
| 1176x664x32                   |     22 |
| 1216x684x24                   |     22 |
| 1229x691x24                   |     22 |
| 1259x787x32                   |     22 |
| 1326x746x32                   |     22 |
| 1408x1126x32                  |     22 |
| 1584x990x24                   |     22 |
| 1650x900x24                   |     22 |
| 1688x808x32                   |     22 |
| 1900x800x24                   |     22 |
| 1900x900x32                   |     22 |
| 2944x1080x24                  |     22 |
| 3328x1152x24                  |     22 |
| 672x420x24                    |     22 |
| 720x1280x32                   |     22 |
| 747x467x24                    |     22 |
| 1050x1000x24                  |     21 |
| 1067x800x16                   |     21 |
| 1152x648x24                   |     21 |
| 1280x1022x16                  |     21 |
| 1280x1824x24                  |     21 |
| 1360x765x24                   |     21 |
| 1707x960x24                   |     21 |
| 1850x900x24                   |     21 |
| 640x512x24                    |     21 |
| 720x576x24                    |     21 |
| 785x589x24                    |     21 |
| 800x1060x32                   |     21 |
| 1024x640x16                   |     20 |
| 1090x681x32                   |     20 |
| 1120x630x32                   |     20 |
| 1146x696x16                   |     20 |
| 1205x753x32                   |     20 |
| 1280x810x32                   |     20 |
| 1280x994x24                   |     20 |
| 1300x800x32                   |     20 |
| 1320x825x24                   |     20 |
| 1350x800x24                   |     20 |
| 1364x768x32                   |     20 |
| 1365x768x32                   |     20 |
