mysql> 
SELECT value,total 
FROM totals 
WHERE variable="video" 
GROUP BY value 
HAVING total>2 
ORDER BY total DESC;
+-------------------------------+--------+
| value                         | total  |
| 900x1000x24                   |     15 |
| 933x700x32                    |     15 |
| 960x1280x32                   |     15 |
| 0x0x16                        |     14 |
| 1045x588x24                   |     14 |
| 1143x858x24                   |     14 |
| 1167x656x32                   |     14 |
| 1229x922x32                   |     14 |
| 1280x605x32                   |     14 |
| 1280x778x24                   |     14 |
| 1350x810x32                   |     14 |
| 1416x885x32                   |     14 |
| 1440x1024x24                  |     14 |
| 1471x841x24                   |     14 |
| 1664x1040x24                  |     14 |
| 1680x855x32                   |     14 |
| 1760x1100x24                  |     14 |
| 1800x1100x24                  |     14 |
| 1912x1025x16                  |     14 |
| 600x1024x32                   |     14 |
| 600x450x24                    |     14 |
| 800x1161x32                   |     14 |
| 800x348x32                    |     14 |
| 800x382x32                    |     14 |
| 800x414x32                    |     14 |
| 800x450x16                    |     14 |
| 836x627x32                    |     14 |
| 844x633x32                    |     14 |
| 864x1152x32                   |     14 |
| 880x660x24                    |     14 |
| 900x650x24                    |     14 |
| 939x704x24                    |     14 |
| 950x1050x24                   |     14 |
| 1000x450x32                   |     13 |
| 1000x500x16                   |     13 |
| 1000x850x32                   |     13 |
| 1024x604x24                   |     13 |
| 1050x900x24                   |     13 |
| 1073x805x24                   |     13 |
| 1097x617x24                   |     13 |
| 1131x707x32                   |     13 |
| 1170x878x32                   |     13 |
| 1229x737x32                   |     13 |
| 1229x768x24                   |     13 |
| 1229x983x24                   |     13 |
| 1245x701x32                   |     13 |
| 1257x785x24                   |     13 |
| 1280x604x32                   |     13 |
| 1280x616x24                   |     13 |
| 1280x645x24                   |     13 |
| 1280x676x24                   |     13 |
| 1280x802x24                   |     13 |
| 1333x1000x24                  |     13 |
| 1350x844x24                   |     13 |
| 1368x768x32                   |     13 |
| 1382x864x24                   |     13 |
| 1408x792x24                   |     13 |
| 1676x925x32                   |     13 |
| 1680x1048x16                  |     13 |
| 1688x1266x32                  |     13 |
| 1772x1108x24                  |     13 |
| 1786x1005x32                  |     13 |
| 1848x1155x32                  |     13 |
| 2071x1165x32                  |     13 |
| 240x273x4                     |     13 |
| 240x274x32                    |     13 |
| 2425x1516x32                  |     13 |
| 2880x900x32                   |     13 |
| 320x192x4                     |     13 |
| 320x242x32                    |     13 |
| 3840x1200x32                  |     13 |
| 480x295x32                    |     13 |
| 5040x1050x32                  |     13 |
| 542x643x0                     |     13 |
| 5760x1080x24                  |     13 |
| 683x384x24                    |     13 |
| 800x1330x32                   |     13 |
| 800x375x32                    |     13 |
| 800x750x24                    |     13 |
| 928x641x24                    |     13 |
| 950x750x24                    |     13 |
| 979x550x32                    |     13 |
| 980x735x24                    |     13 |
| 995x622x32                    |     13 |
|                               |     12 |
| 1013x570x32                   |     12 |
| 1024x408x32                   |     12 |
| 1024x583x32                   |     12 |
| 1024x768x15                   |     12 |
| 1032x645x32                   |     12 |
| 1103x877x32                   |     12 |
| 1117x698x24                   |     12 |
| 1148x718x24                   |     12 |
| 1152x2048x24                  |     12 |
| 1152x870x32                   |     12 |
| 1200x550x24                   |     12 |
| 1200x700x32                   |     12 |
| 1205x678x32                   |     12 |
| 1227x920x24                   |     12 |
| 1250x450x24                   |     12 |
| 1250x950x16                   |     12 |
| 1280x560x24                   |     12 |
| 1280x740x32                   |     12 |
| 1326x746x24                   |     12 |
| 1350x1080x24                  |     12 |
| 1402x877x24                   |     12 |
| 1435x810x32                   |     12 |
| 1440x810x32                   |     12 |
| 1466x916x24                   |     12 |
| 1525x857x24                   |     12 |
| 1525x858x24                   |     12 |
| 1552x915x24                   |     12 |
| 1568x882x32                   |     12 |
| 1617x1011x32                  |     12 |
| 1619x910x32                   |     12 |
| 1676x925x24                   |     12 |
| 1688x949x24                   |     12 |
| 1728x972x32                   |     12 |
| 1776x1000x24                  |     12 |
| 1792x1008x24                  |     12 |
| 1821x1024x32                  |     12 |
| 2133x1333x24                  |     12 |
| 2390x768x24                   |     12 |
| 2560x800x24                   |     12 |
| 360x527x4                     |     12 |
| 4096x1152x24                  |     12 |
| 457x169x16                    |     12 |
| 5760x1200x24                  |     12 |
| 750x700x24                    |     12 |
| 800x1092x32                   |     12 |
| 800x1223x32                   |     12 |
| 800x1332x32                   |     12 |
| 800x1360x32                   |     12 |
| 850x600x24                    |     12 |
| 853x640x32                    |     12 |
| 893x670x32                    |     12 |
| 900x700x24                    |     12 |
| 900x950x24                    |     12 |
| 941x706x24                    |     12 |
| 1000x1200x24                  |     11 |
| 1024x568x24                   |     11 |
| 1024x578x24                   |     11 |
| 1040x780x24                   |     11 |
| 1045x627x24                   |     11 |
| 1100x1000x24                  |     11 |
| 1109x624x24                   |     11 |
| 1109x693x24                   |     11 |
| 1150x950x24                   |     11 |
| 1178x602x24                   |     11 |
| 1200x750x32                   |     11 |
| 1200x950x24                   |     11 |
| 1215x911x32                   |     11 |
| 122x133x4                     |     11 |
| 1260x788x32                   |     11 |
| 1260x945x24                   |     11 |
| 1280x702x24                   |     11 |
| 1280x789x24                   |     11 |
| 1280x809x24                   |     11 |
| 1280x902x32                   |     11 |
| 1288x805x32                   |     11 |
| 1300x400x24                   |     11 |
| 1317x823x24                   |     11 |
| 1336x1002x32                  |     11 |
| 1368x855x24                   |     11 |
| 1400x900x32                   |     11 |
| 1429x804x24                   |     11 |
| 1440x705x32                   |     11 |
| 1440x878x32                   |     11 |
| 1440x900x12                   |     11 |
| 1450x650x16                   |     11 |
| 1486x836x24                   |     11 |
| 1536x960x16                   |     11 |
| 1584x990x32                   |     11 |
| 1652x1033x32                  |     11 |
| 1680x1028x24                  |     11 |
| 1700x900x32                   |     11 |
| 1800x1440x32                  |     11 |
| 1920x1137x24                  |     11 |
| 1920x2400x24                  |     11 |
| 2240x1400x32                  |     11 |
| 2592x900x24                   |     11 |
| 274x352x16                    |     11 |
| 480x224x32                    |     11 |
| 480x224x4                     |     11 |
| 5120x1024x24                  |     11 |
| 640x400x24                    |     11 |
| 650x450x24                    |     11 |
| 720x450x32                    |     11 |
| 800x1222x32                   |     11 |
| 800x650x24                    |     11 |
| 900x500x24                    |     11 |
| 950x1000x32                   |     11 |
| 950x580x24                    |     11 |
| 960x1248x24                   |     11 |
| 992x558x24                    |     11 |
| 983x737x16                    |     11 |
| 1005x754x32                   |     10 |
| 1024x612x24                   |     10 |
| 1024x614x24                   |     10 |
| 1024x638x32                   |     10 |
| 1024x800x24                   |     10 |
| 1050x500x24                   |     10 |
| 1050x750x32                   |     10 |
| 1058x595x24                   |     10 |
| 1069x801x32                   |     10 |
| 1147x860x24                   |     10 |
| 1150x500x24                   |     10 |
| 1150x700x32                   |     10 |
| 1150x850x32                   |     10 |
| 1170x936x24                   |     10 |
| 1216x760x24                   |     10 |
| 1229x983x16                   |     10 |
| 1280x619x24                   |     10 |
| 1280x828x32                   |     10 |
| 1312x738x24                   |     10 |
| 1366x674x24                   |     10 |
| 1396x785x24                   |     10 |
| 1440x774x32                   |     10 |
| 1440x898x16                   |     10 |
| 1440x960x32                   |     10 |
| 1504x750x24                   |     10 |
| 1552x915x32                   |     10 |
| 1600x1024x16                  |     10 |
| 1600x1280x24                  |     10 |
| 1600x600x24                   |     10 |
| 1603x1002x24                  |     10 |
| 1638x859x24                   |     10 |
| 1651x943x24                   |     10 |
| 1680x1026x32                  |     10 |
| 1680x1818x24                  |     10 |
| 1680x927x24                   |     10 |
| 1728x1080x32                  |     10 |
| 1850x1000x24                  |     10 |
| 1920x1178x32                  |     10 |
| 228x269x4                     |     10 |
| 2304x1440x24                  |     10 |
| 240x320x24                    |     10 |
| 2646x800x24                   |     10 |
| 2730x1680x24                  |     10 |
| 2800x1050x24                  |     10 |
| 314x220x32                    |     10 |
| 3728x1152x24                  |     10 |
| 480x300x32                    |     10 |
| 650x300x24                    |     10 |
| 750x450x24                    |     10 |
| 797x448x24                    |     10 |
| 800x1138x16                   |     10 |
| 800x1423x32                   |     10 |
| 800x408x32                    |     10 |
| 800x443x32                    |     10 |
| 800x628x32                    |     10 |
| 800x700x24                    |     10 |
| 800x850x32                    |     10 |
| 832x666x24                    |     10 |
| 836x490x24                    |     10 |
| 896x504x24                    |     10 |
| 900x800x24                    |     10 |
| 980x568x32                    |     10 |
| 980x613x32                    |     10 |
| 1000x950x24                   |      9 |
| 1017x572x24                   |      9 |
| 1017x572x32                   |      9 |
| 1024x606x24                   |      9 |
| 1032x645x24                   |      9 |
| 1100x950x24                   |      9 |
| 1144x807x32                   |      9 |
| 1170x936x16                   |      9 |
| 1191x670x32                   |      9 |
| 1200x600x16                   |      9 |
| 1216x684x32                   |      9 |
| 1232x770x24                   |      9 |
| 1250x1200x24                  |      9 |
| 1263x740x24                   |      9 |
| 1280x586x24                   |      9 |
| 1280x621x32                   |      9 |
| 1280x686x24                   |      9 |
| 1280x800x12                   |      9 |
| 1280x800x15                   |      9 |
| 1280x804x32                   |      9 |
| 1280x970x24                   |      9 |
| 1298x730x24                   |      9 |
| 1300x800x16                   |      9 |
| 1301x813x24                   |      9 |
| 1400x1000x24                  |      9 |
| 1429x1143x24                  |      9 |
| 1440x1700x24                  |      9 |
| 1440x823x32                   |      9 |
| 1450x600x24                   |      9 |
| 1450x700x16                   |      9 |
| 1463x823x24                   |      9 |
| 1500x950x24                   |      9 |
| 1503x845x32                   |      9 |
| 1517x948x32                   |      9 |
| 1549x968x24                   |      9 |
| 1550x950x24                   |      9 |
| 1600x1007x24                  |      9 |
| 1600x2560x32                  |      9 |
| 1664x936x24                   |      9 |
| 1680x1200x24                  |      9 |
| 1700x850x16                   |      9 |
| 1792x1120x24                  |      9 |
| 1824x1022x32                  |      9 |
| 1900x750x24                   |      9 |
| 1920x1078x16                  |      9 |
| 1920x885x32                   |      9 |
| 1920x942x24                   |      9 |
| 1920x975x32                   |      9 |
| 1991x1244x32                  |      9 |
| 2025x1266x24                  |      9 |
| 2091x1307x24                  |      9 |
| 2143x1206x24                  |      9 |
| 218x194x4                     |      9 |
| 234x290x32                    |      9 |
| 240x268x4                     |      9 |
| 240x270x32                    |      9 |
| 240x270x4                     |      9 |
| 2840x1050x24                  |      9 |
| 2880x900x16                   |      9 |
| 320x240x24                    |      9 |
| 3286x1200x24                  |      9 |
| 3488x1152x24                  |      9 |
| 3760x1600x24                  |      9 |
| 3840x1080x16                  |      9 |
| 474x331x32                    |      9 |
| 480x300x4                     |      9 |
| 480x362x32                    |      9 |
| 480x657x32                    |      9 |
| 5040x1050x24                  |      9 |
| 512x320x24                    |      9 |
| 542x643x16                    |      9 |
| 545x299x16                    |      9 |
| 5760x1200x32                  |      9 |
| 640x360x24                    |      9 |
| 666x499x24                    |      9 |
| 700x400x24                    |      9 |
| 700x500x24                    |      9 |
| 750x350x24                    |      9 |
| 768x956x4                     |      9 |
| 800x1184x32                   |      9 |
| 800x1367x32                   |      9 |
| 800x336x32                    |      9 |
| 850x650x24                    |      9 |
| 900x1600x32                   |      9 |
| 900x450x24                    |      9 |
| 900x900x24                    |      9 |
| 917x573x24                    |      9 |
| 917x734x32                    |      9 |
| 981x552x24                    |      9 |
| 1000x350x24                   |      8 |
| 1024x602x24                   |      8 |
| 1024x763x24                   |      8 |
| 1037x778x32                   |      8 |
| 1048x1680x24                  |      8 |
| 1117x838x32                   |      8 |
| 1117x894x24                   |      8 |
| 1133x640x24                   |      8 |
| 1200x600x32                   |      8 |
| 1200x768x24                   |      8 |
| 1224x911x32                   |      8 |
| 1280x1624x24                  |      8 |
| 1280x575x24                   |      8 |
| 1280x829x32                   |      8 |
| 1280x854x12                   |      8 |
| 1280x861x32                   |      8 |
| 1280x929x24                   |      8 |
| 1280x974x24                   |      8 |
| 1282x1026x24                  |      8 |
| 1300x1000x24                  |      8 |
| 1300x1050x24                  |      8 |
| 1300x1150x24                  |      8 |
| 1345x664x24                   |      8 |
| 1360x692x24                   |      8 |
| 1366x573x32                   |      8 |
| 1366x663x24                   |      8 |
| 1402x1052x24                  |      8 |
| 1440x852x32                   |      8 |
| 1480x960x16                   |      8 |
| 1550x850x24                   |      8 |
| 1600x650x24                   |      8 |
| 1600x700x32                   |      8 |
| 1600x780x32                   |      8 |
| 1600x898x16                   |      8 |
| 1613x1008x16                  |      8 |
| 1682x1052x24                  |      8 |
| 1707x1067x24                  |      8 |
| 1708x960x24                   |      8 |
| 1800x1100x16                  |      8 |
| 1916x1000x32                  |      8 |
| 1920x1005x32                  |      8 |
| 1920x1198x16                  |      8 |
| 1920x985x24                   |      8 |
| 2091x1176x24                  |      8 |
| 2112x1320x24                  |      8 |
| 2143x1206x32                  |      8 |
| 2143x1340x32                  |      8 |
| 228x245x4                     |      8 |
| 234x280x32                    |      8 |
| 240x262x4                     |      8 |
| 2432x1024x24                  |      8 |
| 2458x1536x32                  |      8 |
| 2560x960x24                   |      8 |
| 2732x768x24                   |      8 |
| 2832x1050x24                  |      8 |
| 3000x1920x24                  |      8 |
| 320x190x4                     |      8 |
| 3520x1080x24                  |      8 |
| 3760x1920x24                  |      8 |
| 450x600x32                    |      8 |
| 480x256x4                     |      8 |
| 480x360x4                     |      8 |
| 540x960x24                    |      8 |
| 653x490x24                    |      8 |
| 683x400x32                    |      8 |
| 768x432x24                    |      8 |
| 800x1003x32                   |      8 |
| 800x1096x32                   |      8 |
| 800x1113x32                   |      8 |
| 800x1220x16                   |      8 |
| 800x1235x32                   |      8 |
| 800x1271x32                   |      8 |
| 800x1335x32                   |      8 |
| 800x440x32                    |      8 |
| 800x600x8                     |      8 |
| 800x933x16                    |      8 |
| 819x614x16                    |      8 |
| 840x630x16                    |      8 |
| 928x522x24                    |      8 |
| 950x550x32                    |      8 |
| 950x750x32                    |      8 |
| 960x1458x32                   |      8 |
| 960x614x24                    |      8 |
| 960x720x24                    |      8 |
| 960x768x32                    |      8 |
| 962x721x32                    |      8 |
| 987x555x24                    |      8 |
| 989x618x32                    |      8 |
| 991x743x32                    |      7 |
| 986x844x24                    |      7 |
| 1024x480x32                   |      7 |
| 1024x574x24                   |      7 |
| 1024x738x16                   |      7 |
| 1040x585x24                   |      7 |
| 1050x950x24                   |      7 |
| 1060x1768x32                  |      7 |
| 1069x855x24                   |      7 |
| 1080x675x32                   |      7 |
| 1088x614x24                   |      7 |
| 1097x686x24                   |      7 |
| 1100x400x24                   |      7 |
| 1120x840x16                   |      7 |
| 1146x645x32                   |      7 |
| 1146x860x32                   |      7 |
| 1150x1050x24                  |      7 |
| 1152x698x32                   |      7 |
| 1170x658x32                   |      7 |
| 1173x660x24                   |      7 |
| 1180x1896x32                  |      7 |
| 1200x675x24                   |      7 |
| 1200x850x32                   |      7 |
| 1200x960x24                   |      7 |
| 1214x711x32                   |      7 |
| 1222x916x32                   |      7 |
| 1250x781x24                   |      7 |
| 1272x693x32                   |      7 |
| 1280x1024x15                  |      7 |
| 1280x527x24                   |      7 |
| 1280x544x32                   |      7 |
| 1280x589x24                   |      7 |
| 1280x608x32                   |      7 |
| 1280x613x32                   |      7 |
| 1280x778x32                   |      7 |
| 1280x825x24                   |      7 |
| 1280x959x32                   |      7 |
| 1280x964x24                   |      7 |
| 1280x976x32                   |      7 |
| 1280x996x24                   |      7 |
| 1300x450x24                   |      7 |
| 1306x737x24                   |      7 |
| 1360x675x24                   |      7 |
| 1400x875x32                   |      7 |
| 1440x1050x32                  |      7 |
| 1440x717x32                   |      7 |
| 1440x745x32                   |      7 |
| 1450x750x32                   |      7 |
| 1519x949x24                   |      7 |
| 1550x1100x24                  |      7 |
| 1579x987x24                   |      7 |
| 1596x1037x32                  |      7 |
| 1600x1314x16                  |      7 |
| 1650x750x24                   |      7 |
| 1680x1050x12                  |      7 |
| 1680x854x32                   |      7 |
| 1680x857x24                   |      7 |
| 1680x865x32                   |      7 |
| 1680x923x24                   |      7 |
| 1680x928x32                   |      7 |
| 1680x975x32                   |      7 |
| 1700x750x24                   |      7 |
| 1771x896x24                   |      7 |
| 1786x1005x24                  |      7 |
| 1787x1005x32                  |      7 |
| 1800x1000x24                  |      7 |
| 1850x1050x24                  |      7 |
| 1916x927x32                   |      7 |
| 1920x2130x24                  |      7 |
| 2100x1680x24                  |      7 |
| 2144x1206x24                  |      7 |
| 240x400x24                    |      7 |
| 2624x1200x24                  |      7 |
| 2640x1024x24                  |      7 |
| 3000x1200x24                  |      7 |
| 30720x768x16                  |      7 |
| 3840x1024x16                  |      7 |
| 3840x1200x16                  |      7 |
| 4800x1200x24                  |      7 |
| 480x330x32                    |      7 |
| 480x360x32                    |      7 |
| 480x854x24                    |      7 |
| 600x800x24                    |      7 |
| 640x247x4                     |      7 |
| 640x280x32                    |      7 |
| 640x400x32                    |      7 |
| 650x600x24                    |      7 |
| 650x650x24                    |      7 |
| 700x450x24                    |      7 |
| 717x538x24                    |      7 |
| 720x450x24                    |      7 |
| 800x1176x32                   |      7 |
| 800x1201x32                   |      7 |
| 800x1215x32                   |      7 |
| 800x1268x32                   |      7 |
| 800x1269x32                   |      7 |
| 800x413x32                    |      7 |
| 800x441x32                    |      7 |
| 819x614x24                    |      7 |
| 826x619x32                    |      7 |
| 850x750x24                    |      7 |
| 850x800x24                    |      7 |
| 853x480x24                    |      7 |
| 853x512x24                    |      7 |
| 854x442x32                    |      7 |
| 854x480x24                    |      7 |
| 900x400x24                    |      7 |
| 900x850x32                    |      7 |
| 973x730x24                    |      7 |
| 1022x768x24                   |      6 |
| 1024x424x24                   |      6 |
| 1024x455x32                   |      6 |
| 1024x487x32                   |      6 |
| 1024x543x24                   |      6 |
| 1024x820x24                   |      6 |
| 1026x770x24                   |      6 |
| 1045x836x16                   |      6 |
| 1046x784x32                   |      6 |
| 1050x1680x16                  |      6 |
| 1050x788x24                   |      6 |
| 1061x795x32                   |      6 |
| 1065x554x16                   |      6 |
| 1072x670x24                   |      6 |
| 1080x810x16                   |      6 |
| 1088x680x24                   |      6 |
| 1100x700x32                   |      6 |
| 1100x850x32                   |      6 |
| 1103x877x24                   |      6 |
| 1105x829x32                   |      6 |
| 1117x894x16                   |      6 |
| 1150x1000x24                  |      6 |
| 1150x650x16                   |      6 |
| 1152x800x24                   |      6 |
| 1161x653x24                   |      6 |
| 1168x939x16                   |      6 |
| 1191x893x32                   |      6 |
| 1200x500x24                   |      6 |
| 1200x676x32                   |      6 |
| 1200x700x16                   |      6 |
| 1213x910x24                   |      6 |
| 122x133x32                    |      6 |
| 1250x1000x24                  |      6 |
| 1250x850x32                   |      6 |
| 1250x950x24                   |      6 |
| 1259x1007x24                  |      6 |
| 1260x945x32                   |      6 |
| 1262x909x32                   |      6 |
| 1265x968x24                   |      6 |
| 1272x976x16                   |      6 |
| 1274x998x24                   |      6 |
| 1280x1000x32                  |      6 |
| 1280x1792x24                  |      6 |
| 1280x593x24                   |      6 |
| 1280x615x24                   |      6 |
| 1280x641x24                   |      6 |
| 1280x730x32                   |      6 |
| 1280x750x24                   |      6 |
| 1280x760x32                   |      6 |
| 1280x800x8                    |      6 |
| 1280x801x24                   |      6 |
| 1280x819x32                   |      6 |
| 1280x826x32                   |      6 |
| 1280x836x32                   |      6 |
| 1280x865x32                   |      6 |
| 1280x926x24                   |      6 |
| 1280x930x24                   |      6 |
| 1280x931x24                   |      6 |
| 1280x948x32                   |      6 |
| 1280x977x24                   |      6 |
| 1280x980x16                   |      6 |
| 1306x737x32                   |      6 |
| 1307x836x24                   |      6 |
| 1330x998x24                   |      6 |
| 1336x751x24                   |      6 |
| 1350x600x16                   |      6 |
| 1355x847x24                   |      6 |
| 1356x590x32                   |      6 |
| 1366x583x32                   |      6 |
| 1400x500x32                   |      6 |
| 1400x650x24                   |      6 |
| 1400x815x24                   |      6 |
| 1400x865x32                   |      6 |
| 1408x845x24                   |      6 |
| 1429x857x24                   |      6 |
| 1440x1668x24                  |      6 |
| 1440x744x32                   |      6 |
| 1440x762x24                   |      6 |
| 1440x870x24                   |      6 |
| 1475x922x32                   |      6 |
| 1517x1214x24                  |      6 |
| 1536x864x16                   |      6 |
| 1550x650x24                   |      6 |
| 1568x980x32                   |      6 |
| 1600x1000x16                  |      6 |
| 1600x2100x24                  |      6 |
| 1600x2560x24                  |      6 |
| 1600x795x24                   |      6 |
| 1600x796x24                   |      6 |
| 1600x943x24                   |      6 |
| 1652x1033x24                  |      6 |
| 1652x943x24                   |      6 |
| 1673x941x24                   |      6 |
| 1676x929x24                   |      6 |
| 1680x1028x32                  |      6 |
| 1680x2100x24                  |      6 |
| 1680x827x24                   |      6 |
| 1680x828x24                   |      6 |
| 1680x888x24                   |      6 |
| 1680x946x24                   |      6 |
| 1680x952x24                   |      6 |
| 1700x800x32                   |      6 |
| 1707x1365x32                  |      6 |
| 1800x950x24                   |      6 |
| 1824x1028x32                  |      6 |
| 1842x1036x32                  |      6 |
| 1862x1164x32                  |      6 |
| 1888x1062x32                  |      6 |
| 1898x1111x32                  |      6 |
| 1920x1004x24                  |      6 |
| 1920x1015x24                  |      6 |
| 1920x1078x24                  |      6 |
| 1920x1095x24                  |      6 |
| 1920x1160x24                  |      6 |
| 1920x1200x12                  |      6 |
| 1920x1848x24                  |      6 |
| 1920x2100x24                  |      6 |
| 1920x2250x24                  |      6 |
| 1920x975x24                   |      6 |
| 1922x1202x24                  |      6 |
| 2048x768x16                   |      6 |
| 2133x1200x24                  |      6 |
| 2176x768x24                   |      6 |
| 218x280x16                    |      6 |
| 218x364x16                    |      6 |
| 2276x1280x32                  |      6 |
| 2304x864x32                   |      6 |
| 231x285x32                    |      6 |
| 234x301x32                    |      6 |
| 240x266x32                    |      6 |
| 2560x960x32                   |      6 |
| 282x410x4                     |      6 |
| 2966x900x24                   |      6 |
| 2970x1680x24                  |      6 |
| 308x270x32                    |      6 |
| 308x429x32                    |      6 |
| 313x461x32                    |      6 |
| 314x240x4                     |      6 |
| 320x188x32                    |      6 |
| 3520x900x24                   |      6 |
| 360x557x4                     |      6 |
| 4320x900x32                   |      6 |
| 470x282x4                     |      6 |
| 480x320x32                    |      6 |
| 480x332x32                    |      6 |
| 5120x1024x32                  |      6 |
| 512x384x32                    |      6 |
| 533x400x24                    |      6 |
| 5760x1080x32                  |      6 |
| 600x300x24                    |      6 |
| 600x944x16                    |      6 |
| 600x986x32                    |      6 |
| 650x550x24                    |      6 |
| 657x526x32                    |      6 |
| 700x438x24                    |      6 |
| 700x750x24                    |      6 |
| 720x540x24                    |      6 |
| 750x750x24                    |      6 |
| 768x1366x24                   |      6 |
| 800x1058x32                   |      6 |
| 800x1327x32                   |      6 |
| 800x285x32                    |      6 |
| 800x320x32                    |      6 |
| 800x402x24                    |      6 |
| 800x402x32                    |      6 |
| 800x492x16                    |      6 |
| 800x938x32                    |      6 |
| 836x627x16                    |      6 |
| 853x500x24                    |      6 |
| 854x358x32                    |      6 |
| 864x540x24                    |      6 |
| 887x665x24                    |      6 |
| 888x738x32                    |      6 |
| 900x1000x32                   |      6 |
| 900x1600x24                   |      6 |
| 917x734x24                    |      6 |
| 922x518x24                    |      6 |
| 922x540x32                    |      6 |
| 950x400x24                    |      6 |
| 960x720x32                    |      6 |
| 983x576x24                    |      6 |
| 987x740x24                    |      5 |
| undefinedxundefinedxundefined |      5 |
| 994x300x24                    |      5 |
| 1000x450x16                   |      5 |
| 1004x565x32                   |      5 |
| 1014x386x24                   |      5 |
| 1021x638x32                   |      5 |
| 1024x1368x24                  |      5 |
| 1024x427x24                   |      5 |
| 1024x456x24                   |      5 |
| 1024x572x32                   |      5 |
| 1024x573x32                   |      5 |
| 1024x595x24                   |      5 |
| 1024x627x24                   |      5 |
| 1024x679x32                   |      5 |
| 1024x681x24                   |      5 |
| 1032x768x24                   |      5 |
| 1033x826x24                   |      5 |
| 1038x584x32                   |      5 |
| 1041x586x32                   |      5 |
| 1041x651x32                   |      5 |
| 1050x1050x24                  |      5 |
| 1050x400x32                   |      5 |
| 1050x500x16                   |      5 |
| 1060x628x24                   |      5 |
| 1064x665x24                   |      5 |
| 1088x819x32                   |      5 |
| 1100x1100x24                  |      5 |
| 1100x750x16                   |      5 |
| 1109x887x24                   |      5 |
| 1117x670x32                   |      5 |
| 1138x711x32                   |      5 |
| 1152x2048x32                  |      5 |
| 1152x672x32                   |      5 |
| 1152x862x32                   |      5 |
| 1152x870x16                   |      5 |
| 1152x900x24                   |      5 |
| 1187x670x32                   |      5 |
| 1200x550x32                   |      5 |
| 1200x800x16                   |      5 |
| 1200x900x32                   |      5 |
| 1202x751x24                   |      5 |
| 1224x768x32                   |      5 |
| 122x160x4                     |      5 |
| 1237x696x32                   |      5 |
| 1237x773x32                   |      5 |
| 1250x500x24                   |      5 |
| 1272x923x32                   |      5 |
| 1274x740x24                   |      5 |
| 1276x825x24                   |      5 |
| 1276x874x24                   |      5 |
| 1280x1280x16                  |      5 |
| 1280x599x32                   |      5 |
| 1280x607x24                   |      5 |
| 1280x610x24                   |      5 |
| 1280x690x24                   |      5 |
| 1280x705x24                   |      5 |
| 1280x731x24                   |      5 |
| 1280x770x24                   |      5 |
| 1280x790x24                   |      5 |
| 1280x802x32                   |      5 |
| 1280x827x16                   |      5 |
| 1280x833x32                   |      5 |
| 1280x869x32                   |      5 |
| 1280x902x24                   |      5 |
| 1280x920x32                   |      5 |
| 1280x927x24                   |      5 |
| 1280x937x24                   |      5 |
| 1280x956x24                   |      5 |
| 1280x977x16                   |      5 |
| 1280x984x24                   |      5 |
| 1280x992x16                   |      5 |
| 128x160x4                     |      5 |
| 1320x653x32                   |      5 |
| 1320x990x24                   |      5 |
| 1350x760x32                   |      5 |
| 1350x850x32                   |      5 |
| 1355x847x32                   |      5 |
| 1360x1020x24                  |      5 |
| 1366x495x32                   |      5 |
| 1368x950x16                   |      5 |
| 1376x1005x32                  |      5 |
| 1400x800x32                   |      5 |
| 1413x731x24                   |      5 |
| 1418x798x32                   |      5 |
| 1432x820x16                   |      5 |
| 1436x777x32                   |      5 |
| 1440x708x32                   |      5 |
| 1440x719x24                   |      5 |
| 1440x743x32                   |      5 |
| 1440x777x24                   |      5 |
| 1440x876x24                   |      5 |
| 1449x815x32                   |      5 |
| 1450x1000x24                  |      5 |
| 1450x550x24                   |      5 |
| 1453x938x32                   |      5 |
| 1455x909x32                   |      5 |
| 1477x1108x32                  |      5 |
| 1490x900x32                   |      5 |
| 1493x1195x24                  |      5 |
| 1500x1050x24                  |      5 |
| 1520x1140x24                  |      5 |
| 1536x1152x24                  |      5 |
| 1536x835x24                   |      5 |
| 1550x900x24                   |      5 |
| 1592x1175x16                  |      5 |
| 1600x1114x24                  |      5 |
| 1600x1280x32                  |      5 |
| 1600x835x32                   |      5 |
| 1600x973x32                   |      5 |
| 1608x1005x24                  |      5 |
| 1653x947x24                   |      5 |
| 1655x949x24                   |      5 |
| 1676x921x32                   |      5 |
| 1680x1000x16                  |      5 |
| 1680x1020x24                  |      5 |
| 1680x705x24                   |      5 |
| 1680x858x32                   |      5 |
| 1680x867x24                   |      5 |
| 1680x895x24                   |      5 |
| 1680x973x32                   |      5 |
| 1680x978x24                   |      5 |
| 1718x970x32                   |      5 |
| 176x177x4                     |      5 |
| 1800x1125x24                  |      5 |
| 1824x1026x32                  |      5 |
| 1825x1141x32                  |      5 |
| 1835x1032x24                  |      5 |
| 1900x1150x24                  |      5 |
| 1900x950x32                   |      5 |
| 1908x991x32                   |      5 |
| 1920x1015x32                  |      5 |
| 1920x1141x32                  |      5 |
| 1920x1144x24                  |      5 |
| 1920x1968x24                  |      5 |
| 1920x853x24                   |      5 |
| 1920x909x24                   |      5 |
| 1920x973x24                   |      5 |
| 1973x1480x24                  |      5 |
| 2050x1050x24                  |      5 |
| 2080x1024x24                  |      5 |
| 2304x1280x24                  |      5 |
| 2304x1440x32                  |      5 |
| 234x274x32                    |      5 |
